"WMLB e WMHT"," "
"WMGT220","WMAT220","Integer element","Elemento de número inteiro","","","","","",""
"WMGT221","WMAT221","Floating point element","Elemento de ponto flutuante","","","","","",""
"WMGT222","WMAT222","Date and time element","Elemento de data e hora","","","","","",""
"WMGT223","WMAT223","Boolean element","Elemento booleano","","","","","",""
"WMGT224","WMAT224","Time element","Elemento de hora","","","","","",""
"WMGT225","WMAT225","Code element","Elemento de código","","","","","",""
"WMGT226","WMAT226","Date time","Data e hora","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT227","WMAT227","Nanoseconds","Nanosegundos","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT228","WMAT228","Latitude","Latitude","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT229","WMAT229","Longitude","Longitude","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT230","WMAT230","Peak current","Pico de corrente","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT231","WMAT231","Multiplicity","Multiplicidade","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT232","WMAT232","Number of sensors","Número de sensores","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT233","WMAT233","Degrees of freedom","Graus de liberdade","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT234","WMAT234","Ellipse angle","Ângulo da elipse","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT235","WMAT235","Ellipse semi major","Eixo maior da elipse","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT236","WMAT236","Ellipse semi minor","Eixo menor da elipse","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT237","WMAT237","Chi squared","Qui-quadrado","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT238","WMAT238","Risetime","Tempo de subida","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT239","WMAT239","Peak to zero","Pico a zero","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT240","WMAT240","Max rate of rise","Índice máximo de crescimento","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT241","WMAT241","Cloud indicator","Indicador de nuvem","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT242","WMAT242","Angle indicator","Indicador de ângulo","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT243","WMAT243","Signal indicator","Indicador de sinal","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT244","WMAT244","Timing indicator","Indicador de tempo","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT245","WMAT245","Version","Versão","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT246","WMAT246","Lightning data feed","Fonte de dados de raio","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT247","WMAT247","Archived flag","Flag arquivada","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT248","WMAT248","Lightning type","Tipo de raio","","","","JS","Título de coluna do relatório de raios","lightning/static/lightning/js/report-lightning.js"
"WMGT249","WMAT249","Lightning report","Relatório de raios","","","","HTML","Título dos containers de relatórios de raio","lightning/templates/lightning/content-lightning-report.html"
"WMGT250","WMAT250","Operation diagram","Diagrama de operação","","","","HTML","Título da página de Diagrama de Operação","cemig/templates/content-diagram-operation.html"
"WMGT251","WMAT251","History","Histórico","","","","HTML","",""
"WMEM"," "
"Código WMEM","WMEM EN","WMEM PT","Contexto","Local de Uso"
"WMEM1","Only numeric characters are allowed.","Apenas caracteres numéricos são permitidos.","","cemig/models.py (class Usina)"
"WMEM2","Please, select at least one element to issue report","Selecione pelo menos um elemento para emitir o relatório","selecionar pelo menos um elemento","station/content-chart-stations-elements.html"
"WMEM3","Please, select at least one station to issue report","Selecione pelo menos uma estação para emitir o relatório","",""
"WMEM4","Final date cannot be before initial date","Data final não pode ser anterior a data inicial","",""
"WMEM5","No records found","Nenhum registro encontrado","",""
"WMEM6","Owner institution already registered","Instituição proprietária já cadastrada","","common/models.py"
"WMEM7","You missed some required field. Please, verify.","Você não preencheu algum campo obrigatório. Por favor verifique.","",""
"WMEM8","Error on base64 encode","Erro no decodificador da imagem","",""
"WMEM9","Image is bigger than 2.5MB size limit","Arquivo de imagem é maior que o limite de 2,5Mb","",""
"WMEM10","Image does not exist","Imagem não existe","",""
"WMEM11","Invalid image object","Objeto de imagem inválido","",""
"WMEM12","Error on base64 encode","Erro no decodificador da imagem","",""
"WMEM13","Invalid request","Requisição invállida","",""
"WMEM14","Error","Ocorreu um erro","",""
"WMEM15","Please, insert a valid value for the field","Por favor, insira um valor válido para o campo","",""
